rating_key,started,stopped,duration_minutes,user_id,username,media_type,title,parent_title,grandparent_title
10038554,1751469975,1751473575,60.0,487096048,amanda4828,episode,Episode 10,,Married at First Sight (AU)
10038553,1751429607,1751433207,60.0,442972,Silas7458,movie,Ballerina,,
10038549,1751393140,1751396740,60.0,487096048,amanda4828,episode,Episode 9,,Married at First Sight (AU)
10038547,1751387844,1751391444,60.0,487096048,amanda4828,episode,Episode 9,,Married at First Sight (AU)
10038546,1751386476,1751390076,60.0,487096048,amanda4828,episode,Episode 8,,Married at First Sight (AU)
10038545,1751350564,1751354164,60.0,132425852,kyleengel,movie,Thunderbolts*,,
10038544,1751337420,1751341020,60.0,18859358,RSRERandy,episode,The Same Coin,,The Chosen
10038543,1751334021,1751337621,60.0,18859358,RSRERandy,episode,Woes,,The Chosen
10038542,1751304965,1751308565,60.0,487096048,amanda4828,episode,Episode 7,,Married at First Sight (AU)
10038541,1751299424,1751303024,60.0,30589688,Jordan & Liam,movie,Zathura: A Space Adventure,,
10038540,1751296410,1751300010,60.0,487096048,amanda4828,episode,Episode 6,,Married at First Sight (AU)
10038539,1751255371,1751258971,60.0,18859358,RSRERandy,episode,House of Cards,,The Chosen
10038538,1751251077,1751254677,60.0,18859358,RSRERandy,episode,Entry,,The Chosen
10038519,1751227377,1751230977,60.0,442972,Silas7458,episode,A New Day,,FBI
10038518,1751224595,1751228195,60.0,442972,Silas7458,episode,Devoted,,FBI
10038517,1751212643,1751216243,60.0,442972,Silas7458,episode,Startup,,FBI
10038516,1751166339,1751169939,60.0,442972,Silas7458,episode,Partner,,FBI
10038515,1751147140,1751150740,60.0,442972,Silas7458,episode,Partner,,FBI
10038514,1751144235,1751147835,60.0,442972,Silas7458,episode,Blkpill,,FBI
10038513,1751140245,1751143845,60.0,442972,Silas7458,episode,Lineage,,FBI
10038512,1751137063,1751140663,60.0,442972,Silas7458,movie,The A-Team,,
10038511,1751051528,1751055128,60.0,487096048,amanda4828,episode,Episode 5,,Married at First Sight (AU)
10038510,1750974335,1750977935,60.0,487096048,amanda4828,episode,Episode 4,,Married at First Sight (AU)
10038509,1750969905,1750973505,60.0,487096048,amanda4828,episode,Episode 3,,Married at First Sight (AU)
10038508,1750969858,1750973458,60.0,487096048,amanda4828,episode,Episode 3,,Married at First Sight (AU)
10038507,1750965553,1750969153,60.0,487096048,amanda4828,episode,Episode 3,,Married at First Sight (AU)
10038506,1750908836,1750912436,60.0,442972,Silas7458,episode,Covered,,FBI
10038505,1750798401,1750802001,60.0,487096048,amanda4828,episode,Episode 2,,Married at First Sight (AU)
10038503,1750785507,1750789107,60.0,454885222,fosterj61,movie,How to Lose a Guy in 10 Days,,
10038502,1750785400,1750789000,60.0,487096048,amanda4828,episode,Premiere,,Married at First Sight (AU)
10038499,1750737077,1750740677,60.0,454885222,fosterj61,movie,How to Lose a Guy in 10 Days,,
10038498,1750725051,1750728651,60.0,454885222,fosterj61,movie,The Hangover,,
10038497,1750709878,1750713478,60.0,487096048,amanda4828,episode,Episode 36,,Married at First Sight (AU)
